Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,BAC,BAC,BAC,BAC,BAC,BAC
Date,,,,,,
2000-01-03,11.966079711914062,24.21875,25.125,24.0,25.125,13705800.0
2000-01-04,11.255836486816406,22.78125,23.96875,22.46875,23.875,27293400.0
2000-01-05,11.379356384277344,23.03125,23.21875,22.25,22.53125,22855600.0
2000-01-06,12.352086067199707,25.0,25.0,23.375,23.46875,17307000.0
2000-01-07,12.027839660644531,24.34375,24.8125,24.0,24.8125,11632800.0
2000-01-10,11.61095905303955,23.5,24.46875,23.34375,24.46875,11152800.0
2000-01-11,11.363914489746094,23.0,23.46875,22.78125,22.78125,11064400.0
2000-01-12,11.487439155578613,23.25,23.53125,23.0,23.0,11067600.0
2000-01-13,11.749918937683105,23.78125,23.9375,23.4375,23.5,12322000.0
2000-01-14,12.475602149963379,25.25,25.28125,24.40625,24.96875,20438600.0
2000-01-18,11.857998847961426,24.0,25.0,23.90625,25.0,17116000.0
2000-01-19,11.857998847961426,24.0,24.59375,23.34375,23.9375,15468400.0
2000-01-20,11.630254745483398,23.5390625,24.0,23.0,23.75,12249000.0
2000-01-21,11.286718368530273,22.84375,23.34375,22.78125,23.25,12839400.0
2000-01-24,11.00879192352295,22.28125,23.125,22.25,22.875,12614800.0
2000-01-25,11.147756576538086,22.5625,22.84375,22.34375,22.46875,15631000.0
2000-01-26,11.641839981079102,23.5625,23.65625,22.6875,22.875,15441200.0
2000-01-27,11.888875007629395,24.0625,24.1875,23.53125,23.78125,12769400.0
2000-01-28,11.302160263061523,22.875,23.9375,22.875,23.9375,13517000.0
2000-01-31,11.966079711914062,24.21875,24.21875,23.15625,23.25,16910000.0
2000-02-01,12.10504150390625,24.5,24.5,24.0,24.0625,8965200.0
2000-02-02,11.796244621276855,23.875,24.25,23.6875,23.75,11717400.0
2000-02-03,11.471996307373047,23.21875,24.03125,22.71875,23.84375,22798000.0
2000-02-04,11.333039283752441,22.9375,23.5625,22.65625,23.46875,13400000.0
2000-02-07,11.194070816040039,22.65625,22.75,22.4375,22.65625,10364400.0
2000-02-08,11.641839981079102,23.5625,23.625,22.84375,22.90625,10821800.0
2000-02-09,11.379356384277344,23.03125,23.625,23.03125,23.5625,9294200.0
2000-02-10,11.08598804473877,22.4375,23.25,22.34375,23.03125,11579400.0
2000-02-11,11.163190841674805,22.59375,23.3125,22.5,22.5,13510400.0
2000-02-14,10.931594848632812,22.125,22.96875,22.03125,22.84375,13426800.0
2000-02-15,11.27127742767334,22.8125,23.0,22.03125,22.03125,13834000.0
2000-02-16,11.163190841674805,22.59375,23.25,22.5625,23.125,11939600.0
2000-02-17,11.024227142333984,22.3125,23.15625,22.15625,22.71875,12256800.0
2000-02-18,10.808072090148926,21.875,22.34375,21.6875,22.28125,14998000.0
2000-02-22,11.055113792419434,22.375,22.9375,21.5,21.59375,13162800.0
2000-02-23,11.302160263061523,22.875,23.3125,22.21875,22.5,13732000.0
2000-02-24,11.070557594299316,22.40625,23.125,21.9375,22.9375,11467800.0
2000-02-25,10.900713920593262,22.0625,22.90625,22.0625,22.375,10603800.0
2000-02-28,11.348469734191895,22.96875,23.46875,22.28125,22.375,13760000.0
2000-02-29,11.363914489746094,23.0,23.21875,22.53125,22.96875,11792800.0
2000-03-01,11.505966186523438,22.78125,23.09375,22.40625,23.0,9796600.0
2000-03-02,11.379705429077148,22.53125,22.78125,22.3125,22.78125,10613000.0
2000-03-03,11.363917350769043,22.5,23.0625,22.3125,22.875,12825800.0
2000-03-06,11.237656593322754,22.25,22.96875,22.0,22.5,9827800.0
2000-03-07,11.111380577087402,22.0,22.59375,21.875,22.5,8911200.0
2000-03-08,11.016685485839844,21.8125,22.3125,21.78125,22.0,8126400.0
2000-03-09,10.87463665008545,21.53125,22.0,21.40625,21.8125,13093600.0
2000-03-10,10.827282905578613,21.4375,21.625,21.15625,21.46875,12134400.0
2000-03-13,10.906204223632812,21.59375,22.03125,21.25,21.4375,10650800.0
2000-03-14,10.764155387878418,21.3125,21.90625,21.25,21.78125,8233200.0
2000-03-15,11.584887504577637,22.9375,23.03125,21.3125,21.4375,20421800.0
2000-03-16,12.437172889709473,24.625,24.75,23.3125,23.5,27207200.0
2000-03-17,12.62657642364502,25.0,25.375,24.5,24.6875,20839800.0
2000-03-20,12.531878471374512,24.8125,25.125,24.1875,25.0,10749800.0
2000-03-21,12.879107475280762,25.5,25.875,24.75,24.8125,13791200.0
2000-03-22,12.989588737487793,25.71875,25.96875,25.03125,25.71875,11186200.0
2000-03-23,13.68404769897461,27.09375,27.09375,25.5625,26.125,15425400.0
2000-03-24,13.794528007507324,27.3125,27.59375,26.625,26.96875,16576200.0
2000-03-27,13.66826343536377,27.0625,27.5,26.59375,27.25,10686800.0
2000-03-28,13.526214599609375,26.78125,27.34375,26.3125,26.3125,10733000.0
2000-03-29,13.131637573242188,26.0,26.5625,25.9375,26.5,11628600.0
2000-03-30,12.831754684448242,25.40625,26.21875,25.21875,26.125,10390200.0
2000-03-31,13.24211597442627,26.21875,26.625,25.3125,25.5,10241800.0
2000-04-03,14.015497207641602,27.75,27.78125,26.03125,26.03125,17099000.0
2000-04-04,13.68404769897461,27.09375,28.28125,26.65625,27.8125,18461600.0
2000-04-05,13.636698722839355,27.0,27.625,26.8125,26.96875,9186800.0
2000-04-06,13.494647979736328,26.71875,27.28125,26.5,27.125,8071000.0
2000-04-07,13.210551261901855,26.15625,26.90625,26.0,26.53125,7752800.0
2000-04-10,13.336821556091309,26.40625,26.9375,26.0625,26.15625,10295200.0
2000-04-11,13.2184419631958,26.171875,26.6875,25.90625,26.375,7588600.0
2000-04-12,13.7787504196167,27.28125,28.0,26.5625,26.5625,15690000.0
2000-04-13,13.336821556091309,26.40625,27.625,26.28125,27.3125,12167000.0
2000-04-14,12.610782623291016,24.96875,25.9375,24.3125,25.9375,19890400.0
2000-04-17,12.705489158630371,25.15625,25.5,24.0625,24.96875,13947400.0
2000-04-18,12.879107475280762,25.5,25.59375,24.875,25.5,11306400.0
2000-04-19,12.484525680541992,24.71875,25.46875,24.46875,25.46875,7913600.0
2000-04-20,12.516095161437988,24.78125,25.09375,24.71875,25.0625,6438400.0
2000-04-24,13.005376815795898,25.75,25.75,24.6875,24.78125,8713600.0
2000-04-25,13.494647979736328,26.71875,26.84375,25.5,25.53125,9767800.0
2000-04-26,13.068507194519043,25.875,26.46875,25.59375,26.34375,7742400.0
2000-04-27,12.94223690032959,25.625,25.8125,25.03125,25.25,8961400.0
2000-04-28,12.374043464660645,24.5,25.6875,24.1875,25.5625,13831200.0
2000-05-01,12.62657642364502,25.0,25.46875,24.15625,24.53125,9424800.0
2000-05-02,12.531878471374512,24.8125,25.46875,24.65625,24.65625,8853400.0
2000-05-03,12.374043464660645,24.5,25.40625,24.15625,24.8125,7772200.0
2000-05-04,12.12151050567627,24.0,24.46875,23.84375,24.34375,10026400.0
2000-05-05,12.011029243469238,23.78125,24.28125,23.5625,23.625,8272200.0
2000-05-08,12.168858528137207,24.09375,24.40625,23.59375,23.59375,9454400.0
2000-05-09,12.168858528137207,24.09375,24.84375,23.8125,24.25,9627400.0
2000-05-10,11.742715835571289,23.25,24.21875,23.1875,23.96875,13484400.0
2000-05-11,11.963675498962402,23.6875,23.96875,23.28125,23.875,13535600.0
2000-05-12,12.271449089050293,24.296875,24.46875,23.15625,23.6875,11749800.0
2000-05-15,12.784407615661621,25.3125,25.4375,24.28125,24.3125,10759200.0
2000-05-16,12.547653198242188,24.84375,25.8125,24.59375,25.46875,10708400.0
2000-05-17,12.452956199645996,24.65625,24.90625,24.28125,24.53125,6094800.0
2000-05-18,12.705489158630371,25.15625,25.40625,24.65625,24.6875,9306600.0
2000-05-19,12.563443183898926,24.875,25.09375,24.5625,24.78125,9126200.0
2000-05-22,12.689704895019531,25.125,25.15625,24.375,24.875,8182800.0
2000-05-23,13.273685455322266,26.28125,26.5625,25.125,25.21875,14451000.0
2000-05-24,14.125977516174316,27.96875,28.0625,26.6875,26.75,22449600.0
2000-05-25,13.96814250946045,27.65625,28.03125,27.25,27.5,14555600.0
2000-05-26,13.794528007507324,27.3125,27.625,26.9375,27.5,10615400.0
2000-05-30,13.873445510864258,27.46875,27.59375,27.15625,27.46875,8080400.0
2000-05-31,14.259264945983887,27.71875,27.96875,27.0625,27.0625,11082200.0
2000-06-01,14.612936973571777,28.40625,28.875,27.65625,27.75,13747000.0
2000-06-02,15.690018653869629,30.5,30.5,29.625,29.96875,17988400.0
2000-06-05,15.239892959594727,29.625,29.75,29.0,29.625,8917600.0
2000-06-06,14.596858978271484,28.375,28.84375,28.0625,28.6875,12851000.0
2000-06-07,14.870147705078125,28.90625,28.96875,28.0625,28.34375,8100200.0
2000-06-08,14.596858978271484,28.375,28.71875,28.3125,28.71875,6899000.0
2000-06-09,14.403953552246094,28.0,28.71875,27.84375,28.46875,6113600.0
2000-06-12,14.524517059326172,28.234375,28.375,27.96875,28.0,5211200.0
2000-06-13,14.323567390441895,27.84375,28.28125,27.78125,28.21875,7555400.0
2000-06-14,14.227110862731934,27.65625,28.0,27.46875,27.84375,8988000.0
2000-06-15,13.359023094177246,25.96875,27.78125,25.59375,27.78125,21273000.0
2000-06-16,12.34624195098877,24.0,26.125,23.25,26.09375,34707600.0
2000-06-19,12.442695617675781,24.1875,24.65625,23.71875,23.8125,20703400.0
2000-06-20,12.474849700927734,24.25,24.8125,24.0,24.59375,10214400.0
2000-06-21,12.24978256225586,23.8125,24.28125,23.125,24.1875,10812200.0
2000-06-22,12.089030265808105,23.5,23.75,23.0625,23.53125,7421200.0
2000-06-23,12.185479164123535,23.6875,24.28125,23.625,24.25,9036400.0
2000-06-26,12.330170631408691,23.96875,24.375,23.59375,24.15625,7527200.0
2000-06-27,12.089030265808105,23.5,23.875,23.0,23.5625,14991000.0
2000-06-28,11.683114051818848,22.7109375,23.5625,22.625,23.53125,11504200.0
2000-06-29,11.687135696411133,22.71875,23.125,22.5625,22.6875,7949600.0
2000-06-30,11.060173034667969,21.5,22.6875,21.4921875,22.59375,14691000.0
2000-07-03,11.574605941772461,22.5,22.625,21.8125,21.875,5997800.0
2000-07-05,11.65497875213623,22.65625,23.125,22.53125,22.53125,8936800.0
2000-07-06,11.783585548400879,22.90625,23.09375,22.375,23.03125,7997600.0
2000-07-07,12.201559066772461,23.71875,23.84375,23.0625,23.21875,9502000.0
2000-07-10,12.201559066772461,23.71875,24.0,23.65625,23.875,6457600.0
2000-07-11,12.072953224182129,23.46875,23.84375,23.375,23.71875,7978000.0
2000-07-12,12.089030265808105,23.5,23.9375,23.34375,23.75,7483800.0
2000-07-13,11.880041122436523,23.09375,23.5625,22.90625,23.5,8234200.0
2000-07-14,12.21763801574707,23.75,23.90625,23.15625,23.21875,10231200.0
2000-07-17,12.056879043579102,23.4375,24.28125,23.375,23.8125,12662000.0
2000-07-18,11.8961181640625,23.125,23.65625,22.96875,23.625,10538600.0
2000-07-19,11.880041122436523,23.09375,23.28125,22.875,23.28125,8372400.0
2000-07-20,12.442695617675781,24.1875,24.25,23.0625,23.0625,13491800.0
2000-07-21,12.53915786743164,24.375,24.5625,23.71875,24.1875,9566600.0
2000-07-24,12.201559066772461,23.71875,24.15625,23.34375,23.5625,6708400.0
2000-07-25,12.410547256469727,24.125,24.21875,23.84375,24.0,6160000.0
2000-07-26,12.105100631713867,23.53125,24.03125,23.3125,24.0,11561800.0
2000-07-27,12.024720191955566,23.375,23.84375,23.0,23.53125,7476600.0
2000-07-28,11.960426330566406,23.25,23.59375,22.90625,23.5625,8515000.0
2000-07-31,12.185479164123535,23.6875,23.71875,23.03125,23.21875,10973000.0
2000-08-01,12.265857696533203,23.84375,24.0625,23.5,23.84375,7565600.0
2000-08-02,12.137253761291504,23.59375,24.25,23.5625,23.84375,10312800.0
2000-08-03,12.61953067779541,24.53125,24.65625,23.34375,23.40625,12763800.0
2000-08-04,13.50370979309082,26.25,26.34375,25.03125,25.25,20500400.0
2000-08-07,13.471553802490234,26.1875,26.40625,25.78125,26.28125,9230000.0
2000-08-08,13.359023094177246,25.96875,26.25,25.8125,26.03125,8192800.0
2000-08-09,13.6483793258667,26.53125,26.875,25.375,25.96875,10528400.0
